Gait cycle,FB - IOR 2.c3d,FB - IOR 3.c3d,FB - IOR 4.c3d,Static.c3d,Mean
0,-0.3,-0,1.3,7.4,0.3333333333333333
1,-1.4,-1,0.2,7.4,-0.7333333333333333
2,-2.6,-2.2,-0.9,7.4,-1.9000000000000004
3,-3.7,-3.3,-1.9,7.4,-2.966666666666667
4,-4.4,-4.1,-2.7,7.4,-3.733333333333333
5,-4.7,-4.4,-3,7.4,-4.033333333333334
6,-4.4,-4.1,-2.9,7.4,-3.8000000000000003
7,-3.7,-3.4,-2.4,7.4,-3.1666666666666665
8,-2.7,-2.4,-1.5,7.4,-2.1999999999999997
9,-1.5,-1.1,-0.5,7.4,-1.0333333333333334
10,-0.3,0.2,0.5,7.4,0.13333333333333333
11,0.9,1.5,1.5,7.4,1.3
12,1.9,2.6,2.4,7.4,2.3000000000000003
13,2.8,3.6,3.3,7.4,3.233333333333333
14,3.5,4.5,4,7.4,4
15,4.2,5.3,4.6,7.4,4.7
16,4.7,5.9,5.2,7.4,5.266666666666667
17,5.2,6.5,5.7,7.4,5.8
18,5.5,7,6.1,7.4,6.2
19,5.8,7.4,6.4,7.4,6.533333333333334
20,6,7.7,6.7,7.4,6.8
21,6.1,8,7,7.4,7.033333333333334
22,6.2,8.3,7.2,7.4,7.233333333333333
23,6.3,8.5,7.4,7.4,7.400000000000001
24,6.4,8.7,7.6,7.4,7.566666666666666
25,6.5,8.9,7.8,7.4,7.733333333333333
26,6.7,9.1,8,7.4,7.933333333333334
27,6.9,9.2,8.2,7.4,8.1
28,7.3,9.4,8.5,7.4,8.4
29,7.6,9.6,8.7,7.4,8.633333333333333
30,8,9.8,9,7.4,8.933333333333334
31,8.4,9.9,9.3,7.4,9.200000000000001
32,8.8,10.1,9.6,7.4,9.5
33,9.3,10.3,9.9,7.4,9.833333333333334
34,9.7,10.4,10.3,7.4,10.133333333333335
35,10.1,10.6,10.6,7.4,10.433333333333332
36,10.4,10.7,10.9,7.4,10.666666666666666
37,10.7,10.8,11.1,7.4,10.866666666666667
38,10.9,11,11.3,7.4,11.066666666666668
39,11.1,11.1,11.5,7.4,11.233333333333334
40,11.2,11.3,11.7,7.4,11.4
41,11.3,11.5,11.8,7.4,11.533333333333333
42,11.4,11.6,11.9,7.4,11.633333333333333
43,11.5,11.8,12,7.4,11.766666666666666
44,11.5,12,12,7.4,11.833333333333334
45,11.5,12.1,12,7.4,11.866666666666667
46,11.4,12.2,11.9,7.4,11.833333333333334
47,11.3,12.2,11.7,7.4,11.733333333333334
48,11.1,12.1,11.4,7.4,11.533333333333333
49,10.7,11.8,11,7.4,11.166666666666666
50,10.1,11.3,10.4,7.4,10.6
51,9.4,10.6,9.5,7.4,9.833333333333334
52,8.4,9.6,8.4,7.4,8.799999999999999
53,7,8.4,7.1,7.4,7.5
54,5.4,6.7,5.3,7.4,5.800000000000001
55,3.3,4.7,3.2,7.4,3.733333333333333
56,0.8,2.2,0.7,7.4,1.2333333333333334
57,-2.1,-0.6,-2.1,7.4,-1.6000000000000003
58,-5.2,-3.8,-5.3,7.4,-4.766666666666667
59,-8.6,-7.1,-8.6,7.4,-8.1
60,-11.8,-10.3,-11.7,7.4,-11.266666666666666
61,-14.6,-13.2,-14.4,7.4,-14.066666666666665
62,-16.7,-15.3,-16.5,7.4,-16.166666666666668
63,-18,-16.7,-17.7,7.4,-17.46666666666667
64,-18.3,-17.1,-18.1,7.4,-17.833333333333336
65,-17.9,-16.7,-17.7,7.4,-17.433333333333334
66,-16.8,-15.7,-16.7,7.4,-16.400000000000002
67,-15.3,-14.2,-15.3,7.4,-14.933333333333332
68,-13.6,-12.4,-13.6,7.4,-13.200000000000001
69,-11.8,-10.6,-11.8,7.4,-11.4
70,-9.9,-8.6,-9.8,7.4,-9.433333333333334
71,-8.1,-6.7,-7.9,7.4,-7.566666666666667
72,-6.4,-4.9,-6,7.4,-5.766666666666667
73,-4.7,-3.2,-4.2,7.4,-4.033333333333334
74,-3.1,-1.6,-2.5,7.4,-2.4
75,-1.7,-0.2,-1.1,7.4,-1
76,-0.5,0.9,0.1,7.4,0.16666666666666666
77,0.5,2,1.1,7.4,1.2
78,1.4,2.8,1.9,7.4,2.033333333333333
79,2.1,3.5,2.5,7.4,2.6999999999999997
80,2.6,4,3,7.4,3.1999999999999997
81,3,4.5,3.4,7.4,3.6333333333333333
82,3.2,4.8,3.6,7.4,3.8666666666666667
83,3.3,5,3.7,7.4,4
84,3.3,5.1,3.8,7.4,4.066666666666666
85,3.2,5.2,3.8,7.4,4.066666666666666
86,3,5.1,3.7,7.4,3.9333333333333336
87,2.7,5,3.6,7.4,3.766666666666667
88,2.5,4.8,3.4,7.4,3.5666666666666664
89,2.2,4.6,3.3,7.4,3.3666666666666667
90,2,4.3,3.1,7.4,3.1333333333333333
91,1.9,4.1,2.9,7.4,2.966666666666667
92,1.7,3.8,2.8,7.4,2.766666666666667
93,1.7,3.5,2.6,7.4,2.6
94,1.6,3.2,2.5,7.4,2.4333333333333336
95,1.7,3,2.4,7.4,2.3666666666666667
96,1.7,2.8,2.2,7.4,2.2333333333333334
97,1.7,2.4,1.8,7.4,1.9666666666666666
98,1.5,1.9,1.3,7.4,1.5666666666666667
99,1,1.1,0.5,7.4,0.8666666666666667
100,0.2,-0,-0.5,7.4,-0.09999999999999999
